product_id,Name,Rating,Price
1001,Samsung Galaxy S 15,4.2 out of 5 stars,8500
1002,Moto E,3.0 out of 5 stars,8684
1003,Samsung Galaxy A,3.5 out of 5 stars,12989
1004,iPhone SE 14,4.6 out of 5 stars,9679
1005,Moto G,4.6 out of 5 stars,11336
1006,Moto G 2,4.0 out of 5 stars,7299
1007,Galaxy A,4.0 out of 5 stars,7680
1008,Galaxy M 27,3.8 out of 5 stars,10236
1009,Moto One 28,4.2 out of 5 stars,9999
1010,Samsung Galaxy S2,3.9 out of 5 stars,9944
1011,Samsung Galaxy M,3.3 out of 5 stars,11199
1012,IPhone 13,3.6 out of 5 stars,84854
1013,IPhone 13,4.2 out of 5 stars,16499
1014,Moto Edge,4.4 out of 5 stars,22500
1015,Samsung Galaxy A,4.2 out of 5 stars,32000
1016,IPhone 11,4.3 out of 5 stars,13499
1017,Moto E,2.0 out of 5 stars,8188
1018,iPhone SE 15,2.0 out of 5 stars,27790
1019,Moto One 29,5.0 out of 5 stars,15060
1020,Samsung Galaxy Note 17,3.2 out of 5 stars,14636
